subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:1500	CASP10	NCBITaxon:9606	Homo sapiens	HP:0001904	Autoimmune neutropenia	RO:0002200	has phenotype	ECO:0000501|ECO:0000220	evidence used in automatic assertion|sequencing assay evidence	PMID:10412980	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7782	NFE2L2	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:16246626|PMID:26619011|PMID:11097115|PMID:1656611|PMID:8991608|PMID:10553969	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:9817	RAD51	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:8926683|PMID:17654055|PMID:21718492	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:95500	Fcgr3	NCBITaxon:10090	Mus musculus	MP:0003436	decreased susceptibility to induced arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:12528127	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:103070	H2-Ab1	NCBITaxon:10090	Mus musculus	MP:0001844	autoimmune response	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:8388689	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:2899	DLEC1	NCBITaxon:9606	Homo sapiens	HP:0000872	Hashimoto thyroiditis	RO:0002200	has phenotype	ECO:0000246|ECO:0000306	computational combinatorial evidence used in automatic assertion|inference from background scientific knowledge used in manual assertion	PMID:1951887|PMID:7978010|PMID:22426967|PMID:21042721|PMID:8774810	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl	inferred through variant
HGNC:13211	ATP2C1	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:1419753|PMID:15545997|PMID:9521500|PMID:17067528|PMID:11874499|PMID:12371146|PMID:23122374|PMID:10767338|PMID:3978039|PMID:10615129	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1349412	Clec4a2	NCBITaxon:10090	Mus musculus	MP:0003725	increased autoantibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:18204462	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:99655	Prdm1	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:21948081	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:5331	NOD2	NCBITaxon:9606	Homo sapiens	HP:0005681	Juvenile rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:1589128|PMID:10914412|PMID:4087814|PMID:7171185|PMID:9843260	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:104856	Rorc	NCBITaxon:10090	Mus musculus	MP:0005350	increased susceptibility to autoimmune disorder	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:25411202	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:99613	Zap70	NCBITaxon:10090	Mus musculus	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:14647385	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:107655	Ifngr1	NCBITaxon:10090	Mus musculus	MP:0004824	decreased susceptibility to experimental autoimmune myasthenia gravis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:10201893	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:7795	NFKB2	NCBITaxon:9606	Homo sapiens	HP:0001890	Autoimmune hemolytic anemia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:16127007|PMID:14615742|PMID:17671947|PMID:19416387|PMID:15232313	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:99655	Prdm1	NCBITaxon:10090	Mus musculus	MP:0004762	increased anti-double stranded DNA antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:21948081	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:11936	FASLG	NCBITaxon:9606	Homo sapiens	HP:0003454	Platelet antibody positive	RO:0002200	has phenotype	ECO:0000501|ECO:0000220	evidence used in automatic assertion|sequencing assay evidence		https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:5568104	andra	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence		https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:95484	Fas	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:8793508|PMID:11067882|PMID:6975351|PMID:2406366|PMID:15265950|PMID:18275831|PMID:309911|PMID:17509906|PMID:6609979|PMID:16365433|PMID:18492657|PMID:16818796|PMID:8496852	https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl|https://data.monarchinitiative.org/ttl/mmrrc.ttl	direct
HGNC:11998	TP53	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:26619011|PMID:1525326|PMID:2941196|PMID:8681032|PMID:8620298|PMID:8440074	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:25941	TET2	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:6365308|PMID:1124640|PMID:21841770|PMID:8532392|PMID:7715085|PMID:15222122|PMID:1060175|PMID:8598235|PMID:16034467|PMID:6961516	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:88338	Cd44	NCBITaxon:10090	Mus musculus	MP:0004800	decreased susceptibility to experimental autoimmune encephalomyelitis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:23752202	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:26144	PALB2	NCBITaxon:9606	Homo sapiens	HP:0000872	Hashimoto thyroiditis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:9232059|PMID:10685123|PMID:8253550|PMID:10580766|PMID:3863532	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2845	DGCR2	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:20472505|PMID:16542369|PMID:11892070|PMID:21323691|PMID:14567058	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:2676278	Muc19	NCBITaxon:10090	Mus musculus	MP:0005350	increased susceptibility to autoimmune disorder	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:8077681|PMID:25447050	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:109177	Cd59a	NCBITaxon:10090	Mus musculus	MP:0003724	increased susceptibility to induced arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:15457473	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1342542	Ikzf3	NCBITaxon:10090	Mus musculus	MP:0003725	increased autoantibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:12574333|PMID:9806640	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:2665	CD55	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:28657829|PMID:18438530|PMID:18438531|PMID:2015012|PMID:22616341|PMID:12161590|PMID:28657861	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:96541	Il13	NCBITaxon:10090	Mus musculus	MP:0005351	decreased susceptibility to autoimmune disorder	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:17182558|PMID:11591797	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:11920	FAS	NCBITaxon:9606	Homo sapiens	HP:0003262	Smooth muscle antibody positivity	RO:0002200	has phenotype	ECO:0000501|ECO:0000220	evidence used in automatic assertion|sequencing assay evidence		https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl	inferred through variant
MGI:95489	Fbn1	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:24107997	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1355317	Tnfsf14	NCBITaxon:10090	Mus musculus	MP:0004762	increased anti-double stranded DNA antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:11748260	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:10769	SF3B2	NCBITaxon:9606	Homo sapiens	HP:0000872	Hashimoto thyroiditis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:8648063|PMID:180639|PMID:23958302|PMID:26619011|PMID:11322034|PMID:12941308	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:11892	TNF	NCBITaxon:9606	Homo sapiens	HP:0005681	Juvenile rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:14681301|PMID:11261930|PMID:23439686|PMID:8398612|PMID:11896460|PMID:16418737|PMID:11506397|PMID:8056188|PMID:10450718|PMID:21281511|PMID:11826025|PMID:12485196|PMID:9818939|PMID:12641492|PMID:14718719|PMID:12746914|PMID:19648305|PMID:16865291	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2200	COL2A1	NCBITaxon:9606	Homo sapiens	HP:0002725	Systemic lupus erythematosus	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:1788594|PMID:21390576|PMID:9678041|PMID:15930420|PMID:3247661|PMID:21671384|PMID:17394019|PMID:1564465	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2235	KLF6	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:17953252|PMID:17033103|PMID:17720674|PMID:11092617|PMID:18252253	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:15559	CHCHD10	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:22073221|PMID:8782161|PMID:7818241|PMID:10996223|PMID:9021258	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:6709	LTA	NCBITaxon:9606	Homo sapiens	HP:0005681	Juvenile rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:14681301|PMID:12426569|PMID:23439686|PMID:12641492|PMID:12746914|PMID:8398612|PMID:19648305|PMID:21281511	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:2384589	Herc1	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000015	mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl	inferred
MGI:5568094	anaya	NCBITaxon:10090	Mus musculus	MP:0004794	increased anti-nuclear antigen antibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence		https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:107170	Ptpn22	NCBITaxon:10090	Mus musculus	MP:0003725	increased autoantibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:23619366	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1328317	Trex1	NCBITaxon:10090	Mus musculus	MP:0003725	increased autoantibody level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:23972988|PMID:27496731	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:6156	ITGB3	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:9376589|PMID:9351872|PMID:20020534|PMID:1438206|PMID:2014236|PMID:1602006|PMID:9845537|PMID:1371279|PMID:14499243|PMID:2428841|PMID:16463284|PMID:11823541|PMID:4089531|PMID:8471765|PMID:1284758|PMID:9160670|PMID:2392682|PMID:19138263	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:20343	GSKIP	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:21841770|PMID:8532392|PMID:7715085|PMID:15222122|PMID:16034467	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:6024	IL7R	NCBITaxon:9606	Homo sapiens	HP:0000872	Hashimoto thyroiditis	RO:0002200	has phenotype	ECO:0000304|ECO:0000322	imported manually asserted information used in automatic assertion|traceable author statement used in manual assertion		https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:1101	BRCA2	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:8926683|PMID:17654055|PMID:21718492	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:3587	FANCF	NCBITaxon:9606	Homo sapiens	HP:0001973	Autoimmune thrombocytopenia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:8926683|PMID:17654055|PMID:21718492	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:10597	SCN9A	NCBITaxon:9606	Homo sapiens	HP:0002725	Systemic lupus erythematosus	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:8755186|PMID:11388094|PMID:8441148|PMID:8755188|PMID:16357758	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:2138162	Stk17b	NCBITaxon:10090	Mus musculus	MP:0004800	decreased susceptibility to experimental autoimmune encephalomyelitis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:15589167	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:1455	CALR	NCBITaxon:9606	Homo sapiens	HP:0002960	Autoimmunity	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:8199029|PMID:12389633|PMID:7272228|PMID:24325356|PMID:18508162|PMID:11372672|PMID:24325359	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1884	CFTR	NCBITaxon:9606	Homo sapiens	HP:0000872	Hashimoto thyroiditis	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:21909392|PMID:23082198|PMID:23420618|PMID:20659818|PMID:19202204|PMID:11242048|PMID:2236053|PMID:10480369|PMID:19724303|PMID:1384328|PMID:21931512|PMID:18306312|PMID:15181619|PMID:20949073|PMID:10869121|PMID:7544319|PMID:23381846|PMID:11101688|PMID:8702904|PMID:8213163|PMID:10652351|PMID:1379413|PMID:23891399|PMID:21514289|PMID:19843100|PMID:7517162|PMID:25024266|PMID:20301428|PMID:16283068|PMID:20932506|PMID:1937486|PMID:888804|PMID:12938099|PMID:9439669|PMID:11158459|PMID:1381723|PMID:21228398|PMID:11823443|PMID:9150159|PMID:19625452|PMID:7683628|PMID:1376017|PMID:1376016|PMID:17825628|PMID:1944451|PMID:7509310|PMID:16429425|PMID:10762539|PMID:23065710|PMID:1678049|PMID:24784896|PMID:22020151|PMID:21474639|PMID:11278813|PMID:22138447|PMID:12007216|PMID:9017943|PMID:20059485|PMID:10794365|PMID:12521276|PMID:15017334|PMID:7545869|PMID:24129438|PMID:20880762|PMID:9056552|PMID:12874665|PMID:17716958|PMID:7543567|PMID:10777364|PMID:20460946|PMID:10777368|PMID:22043142|PMID:15638824|PMID:12439892|PMID:7757078|PMID:22975760|PMID:12172395|PMID:8092189|PMID:25910067|PMID:1371265|PMID:7541274|PMID:7544788|PMID:1284639|PMID:2344617|PMID:1518030|PMID:22299590|PMID:26864378|PMID:15300780|PMID:20110398|PMID:8064813|PMID:17407489|PMID:7513293|PMID:23974870|PMID:12752573|PMID:7513292|PMID:11069835|PMID:8947061|PMID:15371903|PMID:1370365|PMID:15480987|PMID:26500004|PMID:9272157|PMID:22423042|PMID:15371907|PMID:7520022|PMID:7472820|PMID:7543385|PMID:15371908|PMID:7684646|PMID:12815607|PMID:7684644|PMID:22658665|PMID:10923036|PMID:15287992|PMID:7537150|PMID:1712898|PMID:7689898|PMID:1998343|PMID:20522854|PMID:1710599|PMID:12454843|PMID:7550243|PMID:7512993|PMID:7538127|PMID:12955726|PMID:24525081|PMID:7581390|PMID:1284531|PMID:1284534|PMID:1695717|PMID:1284538|PMID:11388756|PMID:1284539|PMID:10453741|PMID:15994263|PMID:25900089|PMID:14685937|PMID:8477260|PMID:7505689|PMID:23751316|PMID:9521595|PMID:21520337|PMID:22047557|PMID:23276700|PMID:9383031|PMID:7518409|PMID:7506096|PMID:17475917|PMID:1284540|PMID:1284542|PMID:23727931|PMID:10798368|PMID:21811577|PMID:26708955|PMID:7522211|PMID:1374052|PMID:15952991|PMID:18373402|PMID:24633926|PMID:25192979|PMID:12357328|PMID:20416310|PMID:9067754|PMID:15126740|PMID:1722350|PMID:22490504|PMID:8100293|PMID:2045102|PMID:11446424|PMID:16137181|PMID:21679131|PMID:10200050|PMID:9039981|PMID:17003641|PMID:21416780|PMID:25087612|PMID:7541510|PMID:7505690|PMID:7505693|PMID:19910674|PMID:16189704|PMID:8522333|PMID:16596947|PMID:1999342|PMID:9507391|PMID:22504961|PMID:1903761|PMID:23933162|PMID:9788722|PMID:7534226|PMID:10798353|PMID:26208274|PMID:15246977|PMID:23302613|PMID:18782298|PMID:18955805|PMID:1710601|PMID:7521710|PMID:12503104|PMID:1691449|PMID:11668613|PMID:1381442|PMID:10950058|PMID:25033378|PMID:7606851|PMID:8528204|PMID:12544470|PMID:7516234|PMID:19447078|PMID:19265749|PMID:8662892|PMID:16263954|PMID:17314234|PMID:16980811|PMID:17035430|PMID:11788090|PMID:8956039|PMID:1380943|PMID:7539342|PMID:15744523|PMID:8097485|PMID:16840743|PMID:9003498|PMID:10204861|PMID:1284466|PMID:1284468|PMID:15776432|PMID:23670503|PMID:15365999|PMID:2210769|PMID:2210768|PMID:9482579|PMID:18687795|PMID:22981120|PMID:1721624|PMID:7527269|PMID:9435322|PMID:9379898|PMID:23089694|PMID:11280952|PMID:7530553|PMID:7504969|PMID:20021716|PMID:11020799|PMID:19318346|PMID:16801189|PMID:1382316|PMID:16202790|PMID:16488363|PMID:9683582|PMID:1284477|PMID:10719683|PMID:15141088|PMID:21083385|PMID:24586523|PMID:22608296|PMID:1377276|PMID:1379211|PMID:10425036|PMID:17662673|PMID:12394343|PMID:17495464|PMID:7682196|PMID:8910333|PMID:22483971|PMID:8262525|PMID:25580864|PMID:23017188|PMID:22293084|PMID:23857699|PMID:16963320|PMID:9003508|PMID:7508414|PMID:7504970|PMID:2565038|PMID:16049310|PMID:7739684|PMID:7682984|PMID:7683952|PMID:10439967|PMID:1682496|PMID:12833419|PMID:7683954|PMID:9678705|PMID:20976528|PMID:1990834|PMID:15858154|PMID:1999830|PMID:8707304|PMID:7686423|PMID:1757965|PMID:10517260|PMID:23107148|PMID:22395041|PMID:17331079|PMID:12865275|PMID:15024729|PMID:10993719|PMID:12843337|PMID:8707306|PMID:16132229|PMID:15084222|PMID:2135388|PMID:1394988|PMID:12833420|PMID:10515411|PMID:11005149|PMID:19540513|PMID:11379874|PMID:10875853|PMID:15698946|PMID:23687349|PMID:2915972|PMID:18951463|PMID:24019231|PMID:14623323|PMID:2233965|PMID:20932301|PMID:22318583|PMID:22438829|PMID:1373935|PMID:1723056|PMID:1373934|PMID:7679367|PMID:15463906|PMID:8844211|PMID:16436646|PMID:19833837|PMID:15088804|PMID:7524910|PMID:1715308|PMID:23810505|PMID:26471113|PMID:16436643|PMID:16020494|PMID:21296036|PMID:7524909|PMID:10388469|PMID:9164051|PMID:7520798|PMID:10362539|PMID:18456578|PMID:23951356|PMID:27374767|PMID:7691344|PMID:11180668|PMID:11427889	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl|https://data.monarchinitiative.org/ttl/coriell.ttl	inferred through variant
